time,label,true_time,true_label,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12
4,2,4,2,2.1122,0.45429,-0.33933,-0.61135,-1.0009,0.88934,-0.44397,0.16451,-0.17495,-1.383,-0.0013064,0.01241
6,1,6,1,-0.86653,0.54098,1.2031,-1.0957,-0.1926,0.12082,1.3536,-0.53972,1.1447,-0.53391,0.59978,1.538
3,2,3,2,0.64334,0.054601,-0.6883,0.30236,-0.30105,0.42579,-0.071778,0.33567,-0.4471,0.36241,0.42618,-0.79647
1,0,9,2,0.4676,0.0072472,-1.79,0.64768,1.8546,-0.10384,1.3439,-1.1807,-1.5675,-0.54786,-0.32551,1.2506
3,0,3,2,-0.73964,2.1109,-0.23619,1.9444,-0.92181,0.95983,-0.73237,-2.0121,1.0327,-0.27014,1.0624,0.5785
59,2,59,2,-1.4547,0.35117,-0.63742,1.98,0.67451,-0.50215,-0.34648,-0.67679,0.67676,0.28958,-1.5877,-0.53105
68,0,116,2,1.6713,-1.1864,-0.013163,1.2439,-2.2308,-0.21911,-0.26123,-0.44006,-1.8394,1.9622,-0.62108,0.36848
46,1,46,1,-0.11819,-1.0811,0.28455,-1.1672,-0.72461,-0.36177,-0.84228,0.8881,1.6981,-1.2462,0.18593,1.5126
93,2,93,2,1.5307,-0.64733,-0.78125,1.464,0.73189,-0.61514,0.65438,0.22063,1.1037,1.7949,0.59974,0.86003
6,1,6,1,0.93885,-0.19055,-0.36971,1.3706,0.5012,-0.026474,-0.98705,-0.66403,-1.1897,-0.92161,0.14712,-0.083877
4,1,4,1,2.2437,-0.42328,0.59595,-0.82445,1.5069,0.16675,0.82602,0.21204,0.53099,0.41035,0.44048,-0.58258
1,0,5,2,-0.4535,0.84345,0.42486,-0.1617,-0.42239,-0.30217,0.075614,1.0526,1.7979,0.68952,0.71089,-0.56025
76,1,76,1,0.52003,0.994,1.9019,-0.38166,-0.58807,-0.78454,0.46173,0.39156,0.71206,-0.62509,0.48448,1.864
28,0,56,2,-0.91357,0.326,2.4552,-0.35812,-0.53678,0.11618,-0.86921,1.3934,2.2213,0.12214,-0.67335,0.89132
31,1,31,1,-0.27983,-1.7961,1.2698,0.48868,-1.0203,-0.75433,0.014155,-0.95891,-0.74517,-1.6181,-0.33565,-0.67527
1,1,1,1,-1.4576,-0.3571,-0.55535,-0.67445,-0.096569,0.35001,-1.0657,0.27278,-0.66323,-1.4075,-1.3849,0.91498
0,2,0,2,-0.54692,2.673,-2.2966,1.0862,0.37502,-0.8495,-1.4061,0.53812,-1.5335,-0.22232,0.27267,-2.2418
1,2,1,2,-1.5643,1.3216,0.27885,-0.85225,0.11906,0.14858,-1.3062,-1.2835,0.84024,-0.8676,-1.6582,0.11315
52,2,52,2,-1.7663,1.4483,-1.3839,0.20205,0.93551,-0.34996,-0.64767,0.56429,0.54907,-0.22414,2.0471,1.0791
2,1,2,1,1.5721,-0.097496,-1.8843,0.11295,0.76552,1.1544,0.26614,-0.31238,-0.22627,-1.0698,-1.2444,0.90108
8,2,8,2,0.41085,-0.81527,-0.4533,-0.11268,1.0489,1.4397,1.4907,0.9014,-0.56822,-0.80548,0.61566,-0.015096
70,1,70,1,-0.24949,-0.27929,-0.45211,-1.2053,0.47339,0.037156,0.34986,0.66945,1.1545,0.93559,0.22088,0.82583
1,0,16,2,1.6092,0.32261,1.3116,0.061485,-0.42544,-0.099167,1.2444,0.49149,0.19601,-1.9502,0.92073,0.57069
5,2,5,2,1.6833,-0.39354,-1.4016,-1.3875,2.4216,0.69443,-0.63705,-0.76809,-0.91807,-0.25682,0.043169,-0.46798
87,0,105,1,0.56037,-0.45619,0.31488,1.4437,-0.31095,0.11018,0.4529,-0.55746,1.1735,-0.87308,1.2805,-1.3674
4,0,35,1,-1.179,0.51142,-0.017875,-0.94631,0.29473,-0.86234,0.60263,-0.10506,1.3739,-0.25629,0.20394,0.14629
3,2,3,2,-0.5756,0.63261,1.3957,0.10721,0.34112,1.0881,0.28621,-1.5803,0.10154,-0.35674,-0.82507,-1.2964
4,1,4,1,-0.3298,0.65629,-0.5692,0.35952,-0.41705,1.6727,0.10923,0.58021,0.28153,1.2442,1.4402,-0.70746
5,0,9,2,-0.28271,0.23439,-1.4732,0.25138,0.66825,-0.12561,-0.98143,-0.24319,-0.90157,-1.1724,-0.5227,-2.0846
14,2,14,2,0.29624,0.65357,-0.72321,0.33615,0.14822,1.5602,2.628,-0.01887,1.1092,0.99259,0.29421,-1.0313
34,1,34,1,0.09725,0.16413,0.49265,1.2113,-0.67742,-0.41982,0.081141,-1.5159,0.6251,0.92116,-0.21153,-0.72537
5,0,13,1,-0.85343,-1.4582,0.63996,-0.076048,-0.23582,-0.037032,-0.47345,1.8051,-0.43048,-0.74016,1.2009,0.94412
20,2,20,2,-0.62493,0.96159,-0.43924,-0.56322,-0.1276,0.44768,-0.40674,0.88259,0.81127,-0.051631,2.2328,-1.8869
4,2,4,2,-1.3505,0.65129,0.52535,-0.95562,0.88748,1.4959,-1.1076,0.7138,-0.87138,-0.065771,2.4377,0.76814
1,0,1,2,0.76114,-0.024195,-0.84615,0.11083,-0.52632,-0.19475,0.13839,1.113,-0.96542,1.1236,0.0053397,-1.3851
56,2,56,2,-2.0819,-0.80046,-1.2338,-0.17383,-0.58454,0.50327,0.0091985,-0.43967,-0.078904,-1.9104,-1.5597,1.0359
10,0,10,1,-0.85924,0.48347,-1.1473,0.33231,0.5098,0.053509,0.20971,1.2563,0.050169,-1.1428,1.2637,0.86228
3,0,12,2,0.27375,-0.26953,0.47869,0.034705,0.13128,1.2268,0.72207,1.5401,2.2117,-0.27464,-0.27709,-0.7296
0,2,0,2,0.27051,-1.109,0.87318,-1.0791,0.34754,0.077848,-1.0378,0.35302,0.72099,0.084,-0.35974,-1.1383
53,0,61,1,0.44183,0.34043,0.51682,0.68922,-0.69808,0.53998,-1.0779,0.72705,-1.7506,-1.6294,-0.33891,1.106
13,0,26,2,-1.3443,0.61917,-0.3035,2.4386,1.0539,-0.49659,-0.93022,-0.21723,0.65272,0.10954,0.13683,-0.25102
19,1,19,1,-2.7087,1.2546,0.8195,1.1276,-0.30676,0.51202,-0.85513,-0.81541,0.27355,0.39421,-0.64779,-1.2688
33,0,36,1,-0.093872,-0.67397,2.3127,1.122,2.7433,-0.069895,0.53951,-0.86418,0.51064,1.7589,0.38314,0.78392
1,0,7,2,0.45809,0.5885,-1.8502,1.8155,0.34393,2.585,0.65487,1.7763,-0.24149,-0.24739,-0.1205,0.52829
19,0,20,1,-0.2085,0.018082,-0.41738,1.1904,0.18164,-0.71128,0.16059,-1.8437,0.3978,0.72318,-0.087592,-2.1455
0,0,1,1,-2.1166,-0.5017,0.24951,-0.51013,-0.68362,-0.99878,-0.10805,-1.8393,-0.41989,0.046257,1.6907,0.7835
6,0,10,1,0.13365,0.43023,-1.0061,-0.3782,-0.37631,1.6478,-1.3589,-0.074625,0.7563,-0.61413,-1.264,1.2846
0,2,0,2,0.70449,-1.1273,-0.1069,-0.5134,1.2906,-0.89433,0.43494,-0.4662,-0.30387,-0.88536,0.61212,-1.0493
19,0,37,2,-1.4123,-0.11386,0.64721,1.461,-0.12986,-0.064186,0.0045758,-0.26567,-0.61738,0.79256,-0.82662,-0.43086
5,0,15,2,1.1052,0.038867,0.021129,0.73086,0.317,-1.2153,0.30018,-1.1242,0.13545,-0.030962,0.3726,0.23507
33,0,42,2,0.05508,0.030466,-1.23,-0.22748,-0.13175,0.24681,-1.4842,-0.021643,1.1974,-0.52128,-0.53058,0.35607
4,0,23,2,1.4745,-0.71557,0.79128,-1.3443,1.2166,-0.81615,1.5336,1.153,-0.13263,-0.63576,-0.34755,0.55398
3,1,3,1,0.075381,-0.62993,1.4179,-1.27,0.14922,-1.1607,0.30762,0.20887,1.1126,1.2331,-0.62339,-1.2646
17,0,18,2,1.3396,-0.36182,-0.81115,-0.8151,0.72033,-0.95741,-0.85624,1.1823,-0.71589,-0.72023,0.2967,0.30589
0,1,0,1,-0.70913,0.043088,0.40939,-0.43608,1.6014,-0.43063,-0.8393,0.70649,0.96526,-2.1817,1.3607,0.07894
14,1,14,1,0.99354,-0.037128,1.3697,0.22202,-0.27256,1.5474,-0.098171,0.021676,-0.031867,-0.15617,-0.070944,-0.58344
1,0,2,1,0.24891,-0.95282,0.25718,0.34228,-1.3513,-1.3956,1.3815,-0.93456,-0.49203,1.2283,-0.20997,1.4599
7,1,7,1,-0.53781,0.95031,-0.42799,1.0642,0.75849,-1.2667,0.32048,-1.0799,-0.31165,0.57116,1.0439,0.19488
63,1,63,1,0.021344,-0.31418,1.9538,-0.10702,1.2591,0.93004,-0.38343,-1.7223,0.33261,1.7535,-1.8096,-0.90204
0,0,0,2,-1.7706,-1.0217,-0.76343,1.2379,0.30575,1.1617,-0.22694,0.26119,0.79134,0.3395,-1.1733,0.33791
6,0,10,1,-0.20138,0.6023,1.3035,-0.57051,-0.4689,1.0516,-0.62852,-0.56624,0.95852,-0.26233,0.57981,-1.0332
1,2,1,2,0.59474,-0.46207,-0.5516,0.5337,0.61829,-0.8822,-0.72945,1.969,-0.11439,0.47747,-0.65349,0.83134
112,2,112,2,1.174,-1.9855,-1.1724,-0.44558,-0.95587,0.074157,1.75,0.17586,0.068103,0.95887,0.58134,0.42975
8,0,14,1,0.42489,-1.2963,1.4908,-0.4654,0.83235,-0.97339,0.22012,-1.0457,-0.37659,1.812,1.4497,-0.13154
13,0,15,2,-1.7893,-0.86816,-0.88291,0.31522,0.74254,-0.12132,0.0086476,1.5639,-0.1115,1.1866,-0.051539,0.55414
22,0,44,1,1.28,-0.093972,-0.26455,1.2911,-0.27064,0.3498,0.19443,0.071821,0.9686,-0.24722,0.94257,-0.03149
8,1,8,1,1.4266,2.0615,-1.1498,-0.39089,-0.084661,-0.61919,-0.25593,0.87202,1.4393,-0.4742,1.6387,0.78787
17,2,17,2,-1.6783,1.513,1.8194,-1.3011,-0.54191,-0.18963,1.1414,1.1909,0.072926,0.022556,-0.65018,2.2642
13,0,14,1,0.98372,0.98073,-0.93558,-0.71956,-0.55105,0.50961,-0.90366,0.61144,0.73188,-0.11699,-0.38929,-0.80609
9,0,14,2,-0.33534,-0.48487,0.10481,-1.3533,-0.42399,0.12563,-0.77546,0.65824,-0.49574,-1.5839,-1.4554,-0.61495
34,0,41,1,2.2107,-0.40082,2.0918,1.6375,1.3697,0.23756,-0.60801,-0.55973,-0.59497,1.922,-0.31755,-0.23097
74,1,74,1,-1.1695,1.0705,0.25526,1.7817,-0.78358,1.4863,0.33793,1.2407,-0.23293,-0.84402,1.3898,-0.79446
0,1,0,1,-0.44753,1.3706,-0.4362,0.85068,0.041101,0.24148,-1.4348,-0.062905,0.53237,1.5919,-0.72165,-0.36562
4,0,6,2,0.17555,-0.87708,0.51762,-0.46212,-0.24967,-0.6332,1.4762,0.74555,-1.2089,1.1719,0.68433,-0.34281
28,2,28,2,1.1603,0.46217,0.68696,0.28222,1.2023,0.43225,-0.074457,0.28423,-1.1662,1.2275,-0.96711,0.85405
13,2,13,2,0.095352,0.78701,0.4298,1.1036,-0.066917,1.0358,0.45299,-1.2082,0.04319,1.9196,0.24974,-1.599
8,0,8,2,-0.40373,-0.43154,0.62975,0.33845,-1.4142,-0.75804,2.0287,0.23642,-1.1678,-0.84962,-0.072967,2.6071
3,0,6,2,-0.7361,-0.88539,1.2755,0.33071,1.1543,0.38241,0.70545,0.032629,-0.55654,0.38679,0.1031,-0.087325
32,0,39,1,-0.67279,0.24977,0.087309,-0.87337,-0.84285,-1.3382,-1.3945,-0.23883,0.23715,-0.31511,2.6122,-0.24938
48,0,99,1,-0.12104,0.24638,-2.8684,-0.015219,-1.1606,1.6707,1.0712,-0.75588,-0.24748,1.3947,1.8717,-0.33343
29,0,29,1,0.078112,1.9008,-1.186,-1.1286,0.79415,0.11613,-1.1212,0.69042,0.98106,-0.70243,-0.58238,-1.3973
15,2,15,2,1.4075,-0.10712,0.26352,-1.2291,0.46832,0.86526,0.5008,0.32807,-0.31717,-0.98577,-0.6988,0.39758
22,0,54,2,0.31983,0.075436,-0.14649,-2.8613,-1.7517,-0.36489,-0.49302,-0.53088,-0.59072,-1.0481,0.3715,1.9582
0,2,0,2,0.50093,2.0128,-0.74945,0.021354,1.5025,0.13679,1.0348,-1.3766,0.57712,0.21519,-0.11902,-2.2335
6,0,13,1,-1.6834,0.26093,0.11054,-0.3329,-0.51857,-0.64204,-0.088595,1.3713,-0.01076,-0.25399,1.1068,-0.73794
2,0,23,2,0.47004,-0.11458,-1.7493,-0.53711,-0.98024,1.0174,2.0257,1.6054,0.387,0.28151,-0.66711,0.50749
52,2,52,2,-1.211,1.262,-1.7269,-0.1474,-1.8311,0.032207,0.065504,0.89689,0.011522,-0.28003,0.79247,0.086272
1,0,13,1,-1.0343,-0.5225,-1.8404,0.14262,-0.49179,-0.91298,3.6875,-0.7466,-0.74277,-0.6974,-1.0072,2.3998
18,0,50,2,-0.45584,-1.6605,-2.6639,0.31507,0.062712,-0.194,-0.36289,-0.86773,0.79266,-0.68935,-1.0548,-0.99063
8,1,8,1,-0.60483,-0.11576,-0.16763,-0.028795,-1.14,0.77087,0.49555,1.4925,1.6719,-0.25963,0.78372,0.29538
2,0,7,1,-0.64771,1.5954,0.0036225,-0.68508,-1.5495,-1.1052,0.53443,-1.0742,0.23519,-0.89945,0.33904,1.0131
10,1,10,1,-0.43411,-1.1384,-0.50281,0.20247,1.1535,-0.31359,-0.43948,0.27516,0.020743,1.421,-0.55993,-0.16438
71,0,115,1,0.040433,-0.20568,1.3404,0.55061,0.15422,-0.082541,-0.67647,2.0607,1.2699,2.2002,-0.27096,1.0038
1,0,1,2,-0.17616,-0.13372,0.77078,-1.2753,-0.79758,0.33444,1.0734,0.24526,-0.16716,0.27371,-1.9699,-0.61773
6,1,6,1,-1.0017,0.24797,-0.52243,-0.68123,-1.2459,-0.41403,-0.97971,-0.79463,1.2291,-0.060977,-0.088101,-0.24955
15,0,18,1,-0.81552,0.18032,-1.6687,0.78888,1.7259,-0.66139,-0.32059,0.39114,1.3119,-0.44039,-1.5888,0.67192
64,0,82,1,-1.3028,-0.95546,-1.8069,-0.47521,-1.1422,-0.029708,0.091065,0.65093,-1.1588,1.3235,0.38036,-0.43413
11,1,11,1,0.66933,-0.98698,1.5854,-0.78047,-0.36228,-1.8194,-0.70469,-0.25811,-0.08579,2.4989,0.13203,0.55861
2,0,3,2,-0.26577,0.19084,-0.12081,1.0073,-0.46628,1.0155,2.5025,-1.1462,-1.9246,-0.12909,-0.43233,-0.086917
31,2,31,2,0.91738,0.98542,-1.0749,0.20708,-0.028238,-0.91742,0.89073,-0.047873,0.4855,1.3523,0.43198,1.3774
0,0,2,1,-0.62729,0.21068,-0.77544,-0.25886,1.0646,-1.034,-0.20505,1.3881,-1.6998,-1.1058,0.022004,-0.42878
60,1,60,1,0.30123,-0.22694,-0.16301,0.6042,-0.30487,-0.32339,1.4768,0.081053,-0.037825,0.60946,0.18473,-0.3211
95,2,95,2,-1.2379,0.66906,1.7299,0.022151,-0.68796,-1.2637,1.1442,0.16403,-1.5005,1.997,-1.5125,-2.5639
1,0,18,1,0.2016,1.5782,-0.017033,1.1389,0.23288,-1.3236,-1.933,1.972,0.79674,-0.74289,-0.44246,0.44264
4,0,5,1,-0.099362,-0.13456,-1.0206,-0.14522,-0.060354,1.8899,-0.068957,-1.1257,0.90151,0.83263,0.96202,0.3022
1,0,2,2,-0.62221,0.13138,0.89467,-1.537,-1.2693,-1.3553,0.31749,-0.62296,-0.98026,-0.4605,-1.1047,-0.91062
46,0,67,2,-0.94873,0.46424,0.99388,-2.2461,-0.67163,-1.2181,2.1204,0.28132,0.71443,-1.1865,-0.12741,0.31719
7,1,7,1,-0.5832,-1.2195,1.1132,-1.4202,-1.7471,1.1824,0.466,-1.6992,0.016458,0.18089,0.56166,-0.89332
0,0,1,1,0.6972,0.22845,0.52829,-1.5529,0.58044,-0.072243,0.59019,2.681,0.61957,1.0456,0.50095,0.34346
50,0,114,2,0.89201,-1.4029,-0.21058,-1.7373,-0.13815,0.084922,-1.156,0.717,-0.55495,-0.9096,0.28245,-1.1289
9,0,10,2,-0.012021,2.3561,0.39087,-1.002,0.129,0.12154,-0.31403,0.0017782,1.0085,0.19631,-1.048,0.25614
41,0,43,1,-1.1658,0.83033,-0.91923,-0.72785,0.57796,0.37929,-0.83359,-1.7747,1.2069,-1.4699,-1.6581,-0.72731
2,0,4,2,0.54109,0.14844,-0.45352,-1.1267,-0.15457,0.94432,0.3452,-0.54968,-0.5738,2.5731,0.19304,0.29479
4,1,4,1,0.3587,-0.64796,0.38862,0.42883,0.035132,0.68473,-0.12135,-0.99148,0.7664,-1.2441,2.0056,-0.71422
0,0,6,1,-0.9938,-1.7612,2.4667,-0.8386,-0.55258,-0.81557,-0.58104,0.93478,-0.28172,-1.766,0.49714,1.7099
22,2,22,2,2.568,-0.054615,-0.012627,-1.2743,0.30207,0.2906,-0.29871,1.4779,-0.6189,-0.20595,-0.80444,-0.81076
2,1,2,1,1.0656,-1.2635,-0.049057,-0.44375,-0.75819,-0.63341,-0.17561,1.2091,0.35347,-0.23269,0.089257,-0.90962
32,2,32,2,1.2386,1.4492,0.032103,1.114,0.95783,1.6892,-1.9977,-1.0889,-0.75643,0.98502,-1.6123,-0.13147
5,1,5,1,-2.0835,-0.21741,-1.3273,1.3944,-0.84183,-0.099233,0.77112,0.60297,0.53087,1.5015,0.97812,0.55082
14,0,20,2,-0.16057,1.7774,1.7258,-0.41544,0.11853,1.0685,-0.43196,0.88674,0.75911,0.71777,1.1534,-0.85509
0,1,0,1,-0.63025,-0.044377,0.97996,-0.33521,0.37052,-1.0569,-1.2617,0.14213,1.599,0.09357,0.24207,1.0925
11,0,27,1,-0.14394,-0.31133,1.4804,1.1619,1.1501,-1.8546,0.65427,0.22256,-1.9195,-0.99944,-0.14313,0.23046
4,0,5,1,0.83554,0.87069,1.0237,0.49351,0.55735,-0.74183,-0.62588,2.6926,-0.34249,-0.21234,-0.50158,-1.2864
0,1,0,1,-1.6282,0.24556,-0.12697,-0.018458,0.3734,1.5753,-0.055707,0.27133,-0.4561,0.045869,0.30552,-0.61683
8,0,26,1,-2.3005,0.10312,-0.19695,-0.50189,0.069634,1.9715,0.41894,0.54354,1.3895,2.2676,-0.56129,0.56147
33,2,33,2,0.80312,-0.90616,1.3234,0.21481,-1.5235,0.51879,1.4392,-0.18173,-0.66193,1.2946,0.39494,-1.2428
103,1,103,1,-0.15426,0.89758,0.28303,-1.8537,-1.0521,-0.60772,-1.0789,-1.0023,0.84515,0.51591,-0.88106,-0.043981
5,2,5,2,-0.25484,0.94135,0.07475,0.62407,0.19158,-0.10274,-0.05356,-0.23381,-0.90479,-1.0332,0.16453,-1.1096
0,0,8,1,-0.82119,1.0525,0.59983,0.35661,-1.1485,0.88051,0.69055,-0.25856,0.47288,0.29959,-1.6582,-1.003
8,0,61,2,0.2581,1.0576,0.46662,-1.964,-0.58031,1.5969,-1.5767,-0.092419,0.913,-0.53204,0.52207,0.30012
5,0,11,2,0.60139,0.22516,-1.5462,-0.43213,-0.95491,-1.0201,0.96752,0.29095,-1.2082,0.095855,-0.33753,0.58597
3,0,5,1,-1.1566,0.14427,-0.35874,-0.33924,-1.4103,2.0446,0.013333,0.15691,0.47638,-0.3322,0.052162,-0.32919
47,2,47,2,0.61099,-0.8544,-0.89701,-0.41944,1.1055,1.8791,-0.020377,-0.49666,-0.08998,-0.99057,0.12669,-0.97987
11,2,11,2,0.35722,-0.094325,0.59574,0.042184,0.19522,-1.7736,-0.51724,-0.022811,-0.33487,-0.51741,-0.19452,-0.35858
5,0,5,2,-0.56713,0.83775,-1.1269,0.24534,2.4189,0.43232,-0.31362,0.3506,-0.72879,0.97902,0.18013,0.67998
32,0,42,2,0.44162,0.45331,-1.1035,-1.2889,0.85326,-0.35285,-0.10109,0.99882,0.32272,0.78649,-0.5531,-1.4063
2,2,2,2,1.6751,0.2424,1.2781,-0.89824,0.5903,1.4937,0.10369,-0.21397,-0.94045,-0.56428,2.3385,-2.3741
4,2,4,2,-1.3067,-0.12536,-0.18335,-0.37421,-0.32754,0.55294,1.3532,-0.40547,0.13762,-1.6766,-0.51854,-0.22393
3,0,3,1,1.8568,-2.0829,-0.28249,-0.64058,-0.17687,-0.66327,0.6119,-1.206,-0.96792,-1.7263,-0.14132,0.4686
0,0,1,1,0.33068,1.2614,-1.2628,0.95918,0.40767,0.32072,0.9536,-0.70648,-1.5423,0.3634,0.93748,1.7574
51,2,51,2,0.094006,-0.33263,0.43919,1.7546,0.98726,-1.5283,2.2289,0.34598,-1.1992,-0.52313,0.12819,-0.039037
1,2,1,2,-1.7068,-0.37001,-0.48654,0.91485,-1.9309,1.5237,1.248,0.62791,0.94623,0.086537,0.010703,-1.5491
30,0,101,1,0.59091,-0.48947,-0.013617,1.6501,-1.1132,-0.074059,-1.0179,0.26622,0.16527,-0.30015,0.15354,-0.35078
5,0,12,1,1.2935,1.1974,1.3704,-0.56633,-1.2321,0.38381,0.53387,-0.65539,0.23051,1.0549,0.0056481,0.39794
1,1,1,1,-0.95491,0.64625,0.25638,-0.65513,-0.97347,1.9641,0.39676,-0.41907,0.88486,1.186,0.30042,-0.77096
2,2,2,2,-1.4345,0.50662,0.65241,-1.4918,0.92958,-0.81908,0.76739,-1.351,-0.094676,-1.3831,-0.80813,-1.1688
27,1,27,1,0.48462,-1.5133,0.37377,-0.96455,0.07472,-0.81109,0.70661,1.5573,-0.99026,0.1008,1.8051,-0.51486
1,0,7,1,-0.10053,-1.2,1.2518,1.1404,-1.401,2.4981,1.2288,-0.41518,-1.3347,1.2389,-0.44325,0.84234
21,1,21,1,0.35377,-2.238,0.28171,0.83113,0.44011,-0.50788,1.879,1.7244,-0.18967,0.98263,0.91686,-0.14424
2,2,2,2,-1.0802,-0.62537,-2.2848,1.2452,0.072402,-1.5789,0.52228,1.5333,-0.11514,-0.75043,0.21444,-0.94736
3,2,3,2,-0.92563,-0.26292,0.36701,0.55052,0.84715,0.2984,1.5419,-0.15703,-0.20164,-1.0464,2.9812,1.3059
10,0,17,2,-1.8212,0.41775,0.72231,-1.996,0.20353,-0.23185,-1.4476,-0.34443,1.8559,0.16818,-0.23682,1.9418
0,0,0,2,1.31,1.1077,-0.1122,-1.0609,0.46806,-1.3438,-0.31624,0.4001,0.3351,1.6046,0.94022,-0.53504
64,0,73,1,0.50421,0.54045,1.3538,0.92154,-0.62896,0.55716,-1.6238,0.65379,2.5757,-1.1827,0.09155,0.094936
8,0,10,2,-1.4424,-0.29476,-1.6473,1.0788,0.86388,-0.27224,-0.12539,0.3551,0.14626,0.77925,0.076042,-0.23385
51,1,51,1,0.39689,-0.34488,0.58672,1.0315,-0.063591,-0.25394,0.37316,-0.14087,0.66146,-0.30163,0.085907,-1.0254
1,0,5,2,-0.47906,0.61174,0.39567,-1.7098,0.11307,-0.076396,-0.3361,0.81263,-0.54048,0.045939,0.64418,0.48762
85,2,85,2,-2.2702,-0.35231,0.20609,-0.68123,-0.11174,-0.87669,-0.47374,0.036765,-1.3627,-0.56937,0.39602,0.60531
8,2,8,2,1.2065,1.3105,-0.39343,0.68266,0.85382,-0.3123,-0.44724,-0.1361,-0.15814,-0.58638,-0.028692,-0.050275
16,2,16,2,0.59548,-0.51446,0.33758,0.48611,1.6243,-1.8199,0.43022,0.51675,0.27303,-1.6113,0.12307,-0.18915
3,1,3,1,0.94846,0.45922,1.1565,-0.76599,-0.16371,0.67529,2.0437,0.063193,-0.13331,0.16234,0.37306,0.27897
